"","Curve","R2","Slope","Intercept","Run_Date"
"1","High",0.999739073,577.5898189,104642.5944,NA
"2","High",0.999875547,586.6350475,48939.93427,NA
"3","Low",0.999761994,599.1782901,606.0063017,NA
"4","Low",0.999936833,601.4464286,195.9642857,NA
"5","High",0.999976098,599.9887553,21668.58418,NA
"6","High",0.999136074,578.3233889,147368.3056,NA
"7","Low",0.999863923,615.4982719,-1451.452765,NA
"8","Low",0.999825511,618.738894,-329.6497696,NA
"9","High",0.999836954,633.4793698,93811.4525,NA
"10","High",0.999905108,626.9562193,59422.11175,NA
"11","Low",0.999783493,651.1694931,1476.327189,NA
"12","Low",0.999754806,634.8786817,2624.347534,NA
"13","Low",0.999779759,637.3579439,856.8198339,NA
"14","High",0.999623642,546.9696315,90105.2377,NA
"15","Low",0.999610903,588.3707972,771.2925239,NA
"16","High",0.999623642068068,546.969631467345,90105.2377014433,NA
"17","Low",0.999610903488067,588.370797225485,771.292523905426,NA
"18","High",0.999623642068068,546.969631467345,90105.2377014433,2026-06-12
"19","Low",0.999610903488067,588.370797225485,771.292523905426,2026-06-12
