"Curve","R2","Slope","Intercept","Run_Date"
"High",0.999445836,136.2405522,25980.54835,"8/21/2026"
"Low",0.999531085,143.721433,801.9222674,"8/21/2026"
"High",0.99991676,147.9665734,17873.38507,"8/19/2026"
"Low",0.9997966,153.0887575,407.2899004,"8/19/2026"
"High",0.999964562,143.0302761,7587.274173,"8/17/2026"
"Low",0.999697657,145.6124567,745.1636445,"8/17/2026"
"High",0.999916759829744,147.96657336726,17873.3850720946,"8/19/2026"
"High",0.999445836478708,136.24055216285,25980.548346056,"8/21/2026"
"Low",0.999796599939581,153.088757544151,407.289900421648,"8/19/2026"
"Low",0.999531085125404,143.721432965152,801.922267390542,"8/21/2026"
"High",0.999964562016928,143.030276081425,7587.27417302792,"8/17/2026"
"Low",0.999697656947708,145.612456651779,745.163644549044,"8/17/2026"
"High",0.999964562016928,143.030276081425,7587.27417302792,"8/17/2026"
"High",0.999916759829744,147.96657336726,17873.3850720946,"8/19/2026"
"Low",0.999697656947708,145.612456651779,745.163644549044,"8/17/2026"
"Low",0.999796599939581,153.088757544151,407.289900421648,"8/19/2026"
